"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","sd_ob_nobs","sd_ow_nobs","n_both","mean_log_ratio","sd_log_ratio","n_ob_lt_ow","frac_ob_lt_ow_ci_lo","frac_ob_lt_ow_ci_hi","frac_ow_lt_ob_ci_lo","frac_ow_lt_ob_ci_hi","mean_ob_nobs_ci_lo","mean_ob_nobs_ci_hi","mean_ow_nobs_ci_lo","mean_ow_nobs_ci_hi","mean_log_ratio_ci_lo","mean_log_ratio_ci_hi"
100,1,0.6,0.2,0.001,1.5,50,1,0,1,0,2137.04,71,466.201583796853,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,2004.54697585781,2269.53302414219,71,71,NA,NA
100,1,0.6,0.2,0.01,0.5,50,1,0,1,0,1070.6,71,191.424200376535,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,1016.1978441872,1125.0021558128,71,71,NA,NA
100,1,0.6,0.2,0.01,1,50,1,0,1,0,1747.26,71,359.518658367387,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,1645.08592779995,1849.43407220005,71,71,NA,NA
100,1,0.6,0.2,0.01,1.5,50,1,0,1,0,3577.3,71,670.756662285214,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,3386.67306577573,3767.92693422427,71,71,NA,NA
100,1,0.6,0.2,0.1,0.5,50,1,0,1,0,1978.64,174,526.215318698205,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,1829.09126111229,2128.18873888771,174,174,NA,NA
100,1,0.6,0.2,0.1,1,50,1,0,1,0,3479.34,174,918.996160636869,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,3218.16418093435,3740.51581906565,174,174,NA,NA
100,1,0.6,0.2,0.1,1.5,50,1,0,1,0,6907.72,199.48,1793.83258655077,43.4225747739583,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,6397.9184196165,7417.5215803835,187.139440791713,211.820559208287,NA,NA
100,1,0.6,0.2,0.5,0.5,50,1,0.04,0.86,0.1,2699.52,1637,768.699969070495,0,50,0.447891932746267,0,2,0.0110388843276198,0.13460090687507,0.738138062894145,0.930491665729837,2481.0578859705,2917.9821140295,1637,1637,0.447891932746267,0.447891932746267
100,1,0.6,0.2,0.5,1,50,1,0.02,0.96,0.02,4297.52,1637,1317.69497631745,0,50,0.896332403834489,NA,1,0.00353925927164624,0.104954435896378,0.86539909312493,0.98896111567238,3923.03523122806,4672.00476877194,1637,1637,NA,NA
100,1,0.6,0.2,0.5,1.5,50,1,0,1,0,8600.18,1637,2707.26717158971,0,50,NA,NA,0,6.93889390390723e-18,0.0713475991333587,0.928652400866641,1,7830.78318284739,9369.57681715261,1637,1637,NA,NA
