"mu","sigma","item_overlap","class_overlap","add_k","zipf_s","n_preferred","frac_detected","frac_ob_lt_ow","frac_ow_lt_ob","frac_tie","mean_ob_nobs","mean_ow_nobs","mean_log_ratio"
100,1.5,0.5,0.4,0.1,0.5,50,1,0,1,0,25389.34,174,NA
10,0.5,0.6,0.4,0.1,0.5,50,1,0,1,0,13278.22,174,NA
30,0.5,0.6,0.4,0.1,0.5,50,1,0,1,0,4757.32,174,NA
60,0.5,0.6,0.4,0.1,0.5,50,1,0,1,0,3373.08,174,NA
100,0.5,0.6,0.4,0.1,0.5,50,1,0,1,0,2747.02,174,NA
10,1,0.6,0.4,0.1,0.5,50,1,0,1,0,16166.08,174,NA
30,1,0.6,0.4,0.1,0.5,50,1,0,1,0,7055.66,174,NA
60,1,0.6,0.4,0.1,0.5,50,1,0,1,0,5013.3,174,NA
100,1,0.6,0.4,0.1,0.5,50,1,0,1,0,3947.84,174,NA
10,1.5,0.6,0.4,0.1,0.5,50,0.64,0,0.64,0,36753.875,174,NA
30,1.5,0.6,0.4,0.1,0.5,50,1,0,1,0,13313.9,174,NA
60,1.5,0.6,0.4,0.1,0.5,50,1,0,1,0,9539.78,174,NA
100,1.5,0.6,0.4,0.1,0.5,50,1,0,1,0,7772.18,174,NA
10,0.5,0.7,0.4,0.1,0.5,50,1,0,1,0,9434.3,174,NA
30,0.5,0.7,0.4,0.1,0.5,50,1,0,1,0,3614.64,174,NA
60,0.5,0.7,0.4,0.1,0.5,50,1,0,1,0,2396.32,174,NA
100,0.5,0.7,0.4,0.1,0.5,50,1,0,1,0,1934.9,174,NA
10,1,0.7,0.4,0.1,0.5,50,1,0,1,0,13166.98,174,NA
30,1,0.7,0.4,0.1,0.5,50,1,0,1,0,4979.72,174,NA
60,1,0.7,0.4,0.1,0.5,50,1,0,1,0,3145,174,NA
100,1,0.7,0.4,0.1,0.5,50,1,0,1,0,2481.9,174,NA
10,1.5,0.7,0.4,0.1,0.5,50,1,0,1,0,20886.98,174,NA
30,1.5,0.7,0.4,0.1,0.5,50,1,0,1,0,8365.08,174,NA
60,1.5,0.7,0.4,0.1,0.5,50,1,0,1,0,5527.12,174,NA
100,1.5,0.7,0.4,0.1,0.5,50,1,0,1,0,4596,174,NA
